qid,docid,docno,rank,score,query,text,extracted_Sentiment_label
1,9796,9797,0,8.944909973834777,meta,Weâ€™re in Meta!ðŸ«¶ | aespa Meta Tour Behind      #aespa #Ã¦spa #ì—ìŠ¤íŒŒ #Meta #NewYork #Behind,positive
1,6934,6935,1,8.621862619509704,meta,"The META CARD is the most secure DEBIT card that is available to META Exchange, META BANK account holders. The META CARD is a typical DEBIT card that is available to META Exchange and META INVESTMENT BANK account holders.  Read more: meta1.io #META1Coin #meta1",positive
1,9797,9798,2,7.902343337110353,meta,Is Metaâ€™s ad-free service just another way to make people pay for privacy? #meta,positive
1,9732,9733,3,7.768202486407864,meta,"IBM, Meta and others form â€˜AI Allianceâ€™ to advance AI development   #Meta #Technology #IBM",positive
1,9743,9744,4,7.768202486407864,meta,"#Meta #Technology #IBM IBM, Meta and others form â€˜AI Allianceâ€™ to advance AI development  ",positive
1,7004,7005,5,7.638539655547553,meta,My new META 1 smartwatch! #meta1 #meta #smartwatch #texts #weather #stocks #sportsnews #sportsscoresâ€¦  ,positive
1,9717,9718,6,7.6068944095880555,meta,And alongside the most #meta few seconds of TV too,positive
1,9723,9724,7,7.513134291491579,meta,"IBM, Meta and others form â€˜AI Allianceâ€™ to advance AI development dlvr.it/SzmyKn #Meta #Technology #IBM",positive
1,9737,9738,8,7.513134291491579,meta,Misinformation expert says she was fired from Harvard after pressure from Meta #Meta #Facebook #Harvard #socialmedia #cybersecurity #infosec  ,negative
1,9762,9763,9,7.513134291491579,meta,IBM and Meta Unveil Global AI Alliance with Over 50 Founding Members and Collaborators. #Meta #ArtificialIntelligence #alliance #Forum    ,positive
1,9781,9782,10,7.513134291491579,meta,IBM and Meta launch international AI community    #IBM #Meta #AI #GenAI #technology #academia #collaboration,positive
1,9738,9739,11,7.401712411777673,meta,"$META #META   Is Mark sending his kids to the gulag?   Mark Zuckerberg, 10% Owner, Director, COB, and CEO, on December 01,Â 2023, sold 28,009 shares in $META for $9,059,965. ",positive
1,9777,9778,12,7.322753709944821,meta," Just In IBM, Meta form â€œAI Allianceâ€ To compete with market leaders such as OpenAI and Google.  IBM, Meta, and over 50 other founding members!  This is probably the biggest news in tech this week.    #AI #OpenAI #IBM #Meta #ainews",positive
1,6982,6983,13,7.274283867766611,meta,New video up today about why we started META 1. Thank you for all your support. META 1 is about freedom and abundance for all. #meta1coin #meta1 #cryptocurrency  ,positive
1,9706,9707,14,7.274283867766611,meta,"Meta to discontinue cross-messaging between Instagram, Facebook . . #Instagram #Facebook #META #socialmedia #Prabhas #Salaar #AnimalTheMovie #DunkiTrailer #DunkiDrop4  ",positive
1,9746,9747,15,7.274283867766611,meta,"IBM and Meta lead the establishment of the AI Alliance, emphasizing collaboration over competition in responsible AI development. #AI #IBM #Meta",positive
1,6907,6908,16,7.1697845458733855,meta,META EXCHANGE is a decentralized full-service trading platform providing members with the ability to buy and sell major crypto and fiat currencies. META EXCHANGE provides the necessary support modules for META Trader 5 used for the Forex and Exchange markets.  #meta1 #meta1coin,positive
1,6929,6930,17,7.1697845458733855,meta,META 1 Coin the Appreciating Stable Coin secured by Gold a superior coin entering the market. META 1's mission is to provide abundance and equity to everyday people.   Visit us: meta1.io #META1Coin #meta1 #metaexchange #META1Community #meta,positive
1,7282,7283,18,7.160464526866075,meta,AI Alliance announced by IBM and Meta #IBM #META #iitbombay #ArtificialIntelligence #artificalintelligence #CERN #DELL #Intel #Oracle #stabilityai #Sony #NYU #Linux  ,positive
1,9708,9709,19,7.160464526866075,meta,"Meta has announced Ego-Exo4D, a foundational dataset for advanced video learning and multimodal perception research.     #Meta #Ego-Exo4D #Dataset",positive
1,9722,9723,20,7.160464526866075,meta,"IBM, Meta and others form â€˜AI Allianceâ€™ to advance AI development #bitcoin #Meta #Regulation #TechNews #Technology #AI #crypto #IBM  ",positive
1,9785,9786,21,7.160464526866075,meta,Meta Announces Discontinuation of Cross-App Chats Between Instagram and Messenger   #Meta #instagram #Messenger #CrossApps #ChatDiscontinuation #Technology #DFoxMarketing #DigitalFoxMedia,positive
1,6890,6891,22,7.095671785527281,meta,Serum (SRM)) vs META 1 Coin â€“ Two Projects to Check Out in 2021  The META 1 Coin provides a real and profitable alternative to the status quo. META 1 beats Serum in terms of features and stability.   Read more:   #meta1 #meta1coin meta1.io,positive
1,1714,1715,23,7.050152132741226,meta,Meta and IBM launch â€˜AI Allianceâ€™ to promote open-source AI development but no Microsoft or Google #meta #ibm #microsoft #google #ai  ,positive
1,9775,9776,24,7.050152132741226,meta,Meta-owned Instagram has encountered a strange issue in which audio from videos posted on the platform some years ago has mysteriously vanished.  #Meta #Instagram #audio #videos  ,negative
1,9791,9792,25,7.050152132741226,meta,"Meta has made a significant improvement to the iPhone users experience by enabling the sharing of full-quality, uncompressed photos, and videos.    #Meta #WhatsAppUpdate #WhatsApp",positive
1,6914,6915,26,7.0230755296300735,meta,META 1 Coin Report: Dogecoin vs META 1 Coin â€“ Whoâ€™s the Top Dog?  There really is no comparison in terms of technical capabilities between the projects. META 1 Coin is far more advanced than Dogecoin across the board.   Visit us: meta1.io #meta1coin #meta1,neutral
1,6922,6923,27,7.0230755296300735,meta,"META 1 Coin infrastructure includes a Private Block Chain ""META BLOCK"", a Private Bank and Exchange. This will allow unencumbered transactions as well as superior liquidity and security.   Visit us: meta1.io #META1Coin #metaexchange #META1Community #meta1 #meta",positive
1,6891,6892,28,6.943187062961433,meta,#META1Coin #meta1 #meta1exchange Join our ongoing Airdrop and ensure to win META 1 worth up to $34 +  $1.2 worth META 1 per referral.    ,positive
1,9788,9789,29,6.943187062961433,meta,"Meta has announced the discontinuation of cross-app communication between Facebook and Instagram, starting mid-December.  Click on the  to know more:   #ABPLive #Meta #Facebook #Instagram #TechNews",positive
1,9716,9717,30,6.917031182151018,meta,"Fast, scalableâ€¦  #StyleX #CSS #React #META  ",positive
1,9798,9799,31,6.917031182151018,meta,"#Meta to discontinue cross-messaging between #Instagram, #Facebook  ",positive
1,9809,9810,32,6.917031182151018,meta,"#Meta to discontinue cross-messaging between #Instagram, #Facebook   ",positive
1,6981,6982,33,6.839419237499215,meta,"Inside Dave ""The Douchebag"" Schmidt's Meta 1 Scam - ""The Fake Art Collection"" 12/31/18 dinardaily.net/t80240-insideâ€¦ via  #Meta #meta1 #wearethepeople",positive
1,9768,9769,34,6.839419237499215,meta,Meta to Drop Support for Instagram-Messenger Cross App Communication Chats  For news visit 2yodoindia.com #2YoDoINDIA #Instagram #Facebook #Messenger #CrossPlatformMessaging #CrossAppChats #MetaCrossAppCommunication #FacebookInstagramChats #InstagramFacebookChats #Meta,positive
1,9794,9795,35,6.839419237499215,meta,"Promoting Open Source AI: IBM, Meta, and 50 Organizations Unite in â€˜AI Alliance  Read More :   #META #ArtificialIntelligence #IBM #ai #opensource #technology #TechNews #tech",positive
1,2024,2025,36,6.738707416161232,meta,"IBM, Meta, other tech companies launch alliance to take on the â€˜big bad boysâ€™ of AI like OpenAI, Google  #Google #googleai #IBM #META #MicrosoftAi #OPENAI  ",negative
1,9730,9731,37,6.714066718330881,meta,What is HASHTAG (#).  #content #meta #growth #socialmedia #followers #marketing,positive
1,9748,9749,38,6.714066718330881,meta,"No, Your News Feed Is Not Limited to Posts From 26 Friends #Meta   ",neutral
1,9793,9794,39,6.714066718330881,meta,Very strong project manager  #Pluto #P2EGame #meta #NFTCollection,positive
1,9813,9814,40,6.714066718330881,meta,Be careful what you share on #SocialMedia   #Privacy #Marketing #Security #Meta               ,positive
1,9815,9816,41,6.714066718330881,meta, Very smooth with the poem good ser! #Pepe #Santa #Meta #crypto,positive
1,9823,9824,42,6.714066718330881,meta,"#Meta to discontinue cross-messaging between #Instagram, #Facebook  Read:  ",positive
1,9699,9700,43,6.640918557191316,meta,"Mark Zuckerberg, the CEO of Meta, has been committed to seamlessly integrating the features of its social media platforms-Facebook, Instagram, and WhatsApp. #News #WhatsApp #Facebook #Meta #MarkZuckerberg #Tech #News",positive
1,9736,9737,44,6.640918557191316,meta,"Wow, major tech shake-up happening!  Insiders selling their stocks after big protests, but hey, Zuckerberg and Meta staying strong!  Exciting times ahead! #techupheaval #innovation #meta",positive
1,9747,9748,45,6.640918557191316,meta,"Tech leaders, including IBM and Meta, form the AI Alliance to collaborate in responsible AI development, with over 50 companies and educational institutions joining. #AI #IBM #Meta #TechAlliance",positive
1,2318,2319,46,6.55371527207479,meta,"Big moves in AI: Microsoft and Meta's massive GPU acquisition!  150,000 H100 GPUs by year's end, tripling capabilities in their AI datacenters! Microsoft and Meta will have 3x more GPU power for AI than anybody else.  What will this power surge mean for AI's future?  #AI #NVIDIA #Microsoft #Meta #GPURace",positive
1,9715,9716,47,6.545927230920547,meta,AI Scientist Warned Meta CEO Mark Zuckerberg That Facebook And Instagram May Go â€˜Extinctâ€™: Report    #AI #scientist #warns #zuckerberg #ceo #meta #Facebook #instagram #extint #report,positive
1,9742,9743,48,6.545927230920547,meta,"Meta, IBM and 50+ other institutions join hands to form AI Alliance.  ahhhaaa onnu kuditangale..... enna enna nadakapogutho....  #Meta #IBM #AIAlliance #TamiTech #MrTamilTech #MrTT #TTFamily",positive
1,9820,9821,49,6.545927230920547,meta, Breaking: Meta hits pause on the cross-messaging groove between  and    A shift in social harmony as they reevaluate the beat. What's next in the MetaVerse playlist?   #Facebook #instagram #META #Metaverse #MetaverseWorlds #message #playlists,negative
1,7016,7017,50,6.522673771017809,meta,Pepe trying out #metaglasses at #Baibuk - #metadevelopment #indiegames #meta #meta1  ,positive
1,9731,9732,51,6.522673771017809,meta,Iâ€™ll take #airdrop threading over this stupid new #meta. Please stop lol.,negative
1,9697,9698,52,6.491736662539581,meta," META BLOCK TRADE ALERT   Received at 2023-12-06 08:54:06 Price: $318.29 | Volume: 117,000 Notional Value: $37,239,930 Exchange: FINRA (Off-Exchange / Dark Pool)  Want these alerts realtime? Join us free on Discord: blocklevels.com $META #META",positive
1,9792,9793,53,6.453615083030367,meta,Meta and IBM are co-launching a new 'AI Alliance' that brings together AI-curious companies across a range of industries.  #meta #IBM #AI #artificialintelligence #companies #Industries #technology #technewsdaily #technews #technologynews #yourtechstory  ,positive
1,9718,9719,54,6.363870342599248,meta,"A group of 83 #Spanish media organisations is taking legal action against #Meta the parent company of #Facebook  Theyâ€™re seeking damages amounting to â‚¬550 million , accusing #META of engaging in unfair competition within the #Advertising market.",negative
1,9761,9762,55,6.363870342599248,meta,Meta CEO Mark Zuckerberg was reportedly warned that Facebook and Instagram could go extinct if he didnâ€™t act fast enough to create a rival to OpenAIâ€™s ChatGPT. Read:   #MarkZuckerberg #ArtificialIntelligence #AI #OpenAI #ChatGPT #Facebook #Instagram #Meta,negative
1,9821,9822,56,6.363870342599248,meta,"Meta discontinues cross-messaging between Instagram and Facebook Messenger without giving reasons. This change, starting mid-December 2023, prevents chatting with Facebook accounts on Instagram, reports IANS  #Meta #Facebook #Instagram",neutral
1,7266,7267,57,6.3418901855878955,meta,Meta and IBM Launch AI Alliance - WSJ #metaplatforms #aialliance #intel  ,positive
1,9707,9708,58,6.3418901855878955,meta,Fuck  they must be using 1984 as a censorship training manual. #META #instagram #Facebook,negative
1,9819,9820,59,6.3418901855878955,meta,#TATTOOTOKEN  Movin forward.     #meta town bound #XRPLCommunity $XRP $Solo,positive
1,6775,6776,60,6.276587370633363,meta,"You can use META 1 to store value or transfer internationally, in a permissionless manner. In this way, META 1 services the market METANOMICs ecosystem.  Read full article:    Visit us: meta1coin.vision #meta1 #meta1coin #meta1community",positive
1,9709,9710,61,6.276587370633363,meta,WhatsApp New Feature Update: Meta-Owned Platform Testing New â€˜Share Music Audioâ€“Video Callsâ€™ Feature To Let Users Deviceâ€™s Audio With Other Users on Video Call #WhatsApp #WhatsAppNewFeature #Meta #WhatsAppBeta    ,positive
1,9795,9796,62,6.255117599782517,meta,"Meta Founder and CEO Mark Zuckerberg sold around $190 million in the company's stock last month, the media reported. Zuckerberg sold Meta shares every day in November, for a total of 560,180 shares last month, reports Market Watch.  Read more   #Meta #MarkZuckerberg #StockSales #CompanyShares #MarketWatch #CEOTransactions #StockMarket #FinancialNews #InvestmentMoves #businessinsights #bizzbuzz",positive
1,6803,6804,63,6.191666245247068,meta,"You can use META 1 to store value or transfer internationally, in a permissionless manner. In this way, META 1 services the market METANOMICs ecosystem.  Read full article:    Visit us: meta1coin.vision #meta1 #meta1coin #meta1community #bitcoin",positive
1,6887,6888,64,6.191666245247068,meta,Next-Gen Stablecoin META 1 CEX Listings Go Live!  We are excited to bring META 1 to the world and provide a launching pad for a world of freedom and abundance.  Read more:     Visit us: meta1.io #meta1 #meta1exchange #meta1coin #meta1community,positive
1,6911,6912,65,6.191666245247068,meta,"META 1 has taken crypto to the next level by not just transforming from a fiat US Dollar to a fiat cryptocurrency, but to a Smart Coin with collateral, and a Market Witness incorporating external market feeds.   #META #meta1 #metaexchange #meta1community #cryptocurrency",positive
1,6926,6927,66,6.191666245247068,meta,Join our ongoing Airdrop and ensure to win META 1 worth up to $34 +  $1.2 worth META 1 per referral.  Follow instructions on Telegram bot:    OR  Join our Telegram group to know more:    #META1Coin #meta1 #meta1exchange,positive
1,6987,6988,67,6.1708575996864425,meta,Tell us your META 1 story! #meta1coin #meta1 #cryptocurrency #crypto #cryptonews #newcryptocurrency,positive
1,7152,7153,68,6.1708575996864425,meta,"I got in a fight today with a 12 year old which is shop is better, Sateillite or Meta. I shut him up. #Meta1",positive
1,9698,9699,69,6.1708575996864425,meta,"Our whitepaper is ready, you can get acquainted with the Pluto universe.    #Pluto #P2EGame #meta #NFTCollection",positive
1,9727,9728,70,6.1708575996864425,meta,#Meta and #IBM launch â€˜#AI Allianceâ€™ to promote open-source AI development  ,positive
1,9749,9750,71,6.1708575996864425,meta,The blonde beast of digital prey is afraid to lose its prey. #Google #Meta #Microsoft,negative
1,9806,9807,72,6.1708575996864425,meta,"Off to a great start for creating an open, responsible, and collaborative #AI ecosystem. #artificalintelligence #meta #AIAlliance",positive
1,9810,9811,73,6.1708575996864425,meta,Is Google Ads cheaper than Facebook?   Let us know your thoughts below!   #GoogleAds #FacebookAds #Meta,negative
1,9824,9825,74,6.1708575996864425,meta,#Meta and #IBM Assemble #OpenSource #AI Super Team - OMG! Ubuntu. | Too late.  ,positive
1,1525,1526,75,6.109012380068439,meta,"Focusing all in on #GenAI - In case you missed - In the third edition - I cover the OpenAI Diaries, Amazon introduces Q, Meta disbands responsible AI team and a new startup is focused on bringing gen AI to the desktop #genai #openai #amazon #meta  ",negative
1,6901,6902,76,6.109012380068439,meta,Uniswap vs META Exchange â€“ DEXs Compete for the Title.  META incorporates a full DeFi ecosystem complete with savings accounts and a VISA debit card. Its network was built to free users from the chains of the current system.   Read more:   #meta1 #meta1coin,positive
1,9729,9730,77,6.109012380068439,meta,"#AI #NEWS: #Meta and IBM just teamed up to form the 'AI Alliance'.  Meta, IBM, and over 50 other companies, universities, and organizations just announced the formation of the â€˜AI Allianceâ€™.  The mission of the alliance is to advance open and responsible AI innovation.  #ArtificialIntelligence",positive
1,6893,6894,78,6.028536172806119,meta,META 1 Coin â€” A Path to Financial Freedom  The entire centralized financial system was built to keep those on the top rewarded while the average user suffers. META 1 operates as an escape hatch from this endless rat race.   Read more:   #meta1 #meta1coin,negative
1,6912,6913,79,6.028536172806119,meta,"One of the most unique features of META 1 Coin is the anti-whale dumping mechanism. META 1 Coin is an example of a stablecoin basing value from various gold-related assets, like bullion and above & below ground mining assets.   Visit us: meta1.io #meta1coin #meta1",positive
1,9700,9701,80,6.028536172806119,meta,"#Tech #AI #meta #AIAlliance #IBM Artificial intelligence (AI) technology frontrunners led by IBM and Meta have formed an organization known as AI Alliance, it comprises more than 50 tech companies and aims to emphasize a commitment to safety,â€¦ dlvr.it/Szn5Xy",positive
1,9804,9805,81,6.028536172806119,meta,"#Bitcoin  beats #Meta, back in 9th place for global market cap!    With a market value of $855.47 billion, it surpasses Meta Platforms (#Facebook) at $817.96 billion, trailing just behind NVIDIA's $1.15 trillion.  #CryptoOnTop",positive
1,7009,7010,82,6.008807815045337,meta,Got to to test out the  Meta 1 Augmented Reality developer unit today. Was impressed. #AR #Meta1,positive
1,7132,7133,83,6.008807815045337,meta,True augmented reality with epson wearable #meta1 slashgear.com/meta-plans-truâ€¦,positive
1,9786,9787,84,6.008807815045337,meta,GET TOXIC WITH 10 FREE MINTS FROM THIS TRENDING COLLECTION! #NFT #ETH #CRYPTO #META #UNRECYCLING,positive
1,9801,9802,85,6.008807815045337,meta,We are already preparing an interesting update for you.   Turn on the notification bell on Twitter.   #PLUTO #P2EGame #meta #NFTCollection,positive
1,9765,9766,86,5.873781324118766,meta,Today MCE Societyâ€™s PAI VEDA College organized an exclusive workshop on â€œUnlock the Power of Meta Social Mediaâ€ by Josh Talks. The Speaker Mr. Kshitij Jahagirdar shared his experience & the insights of Social Media. #meta #socialmedia #metasmbas #joshtalks #animationcollege,positive
1,1764,1765,87,5.855051261651295,meta,Dump  Dirt Gravel Leaves 81inertrecycling Loganville Georgia #twitter #facebook #google #meta #81inert  ,positive
1,6750,6751,88,5.855051261651295,meta,"The Week in Crypto - DOGE, Bitcoin whitepaper, Meta 1 |    #crypto #cryptonews #dogecoin #bitcoin #meta1  ",positive
1,6807,6808,89,5.855051261651295,meta,SEC Preparing Action Against Meta 1 Scam |     #META1 #META1coin #crypto #cryptocurrency #sec #scam  ,negative
1,6892,6893,90,5.855051261651295,meta,SEC Identifies Further Recipients of META 1 Investor Funds |     #META1 #META1coin #crypto #cryptocurrency #scam  ,positive
1,6898,6899,91,5.855051261651295,meta,META 1 Scam Decides It Is Better Than Other Top Crypto Projects |     #META1 #META1coin #crypto #cryptocurrency #scam  ,positive
1,6940,6941,92,5.855051261651295,meta,"META 1 Coins  Wonderful project, this project is very good and this projector has a lot of attractions.     #META1Coin #META1 #AirdropCrypto #GIVEAWAY",positive
1,6955,6956,93,5.855051261651295,meta,META 1 Still Scamming Investors Despite SEC Ban |    #META1 #META1coin #crypto #cryptocurrency #scam  ,positive
1,6960,6961,94,5.855051261651295,meta,META 1 Coin Scam â€“ Where Are We Now? | Mark Hunter ()    #meta1 #meta1coin #crypto #cryptocurrency #scam  ,positive
1,6978,6979,95,5.855051261651295,meta,New post (META CARD #crypto #blockchain #meta1 #investment #bank) has been published on COIN GIGANT -  ,positive
1,9739,9740,96,5.855051261651295,meta,Submit your hacking question and get a really quick solution I'm available 24/7 #hacking #twitterdown #facebookdown #meta #icloud,positive
1,9741,9742,97,5.855051261651295,meta,Send in your Hacking Issues and get Real Solution Fast I'm available 24/7  #hacking #twitterdown #facebookdown #meta #icloud,positive
1,9763,9764,98,5.855051261651295,meta,"The controversy surrounding #Harvard's decision to terminate a leading misinformation expert, #JoanDonovan, allegedly under pressure from #Meta.",negative
1,9774,9775,99,5.855051261651295,meta,WhatsApp Enhances Valuable Feature for Users  #WhatsApp #WhatsappChannel #whatsappgroup #whatsappchat #whatsapphack #news #meta  ,positive
