link,text,date,likes,quotes,comments,retweets
https://twitter.com/plutsmeta/status/1726674776276767120#m,"Our whitepaper is ready, you can get acquainted with the Pluto universe.    #Pluto #P2EGame #meta #NFTCollection","Nov 20, 2023 Â· 6:52 PM UTC",760,13,65,620
https://twitter.com/gapascarella/status/1731875907512492538#m,Facing the Firing Squad in @NHL @SenseArena  on Quest 3 ðŸ’ #Meta #Quest3 #Gaming #Hockey #Training #Workout #VR #VirtualReality #Goalie #Goaltender #OnIce @penguins #Crosby #Malking #Guentzel #Letang #Fleury #Jarry,"Dec 5, 2023 Â· 3:19 AM UTC",2,0,1,1
https://twitter.com/aliencybercoat/status/1731876568174047581#m,Rocky II - Gonna Fly Now 17 piece drum set included. Practice drums in VR with our drum simulator.  #vr #rocky #RockyBalboa #oculus #meta #metaquest #vrgames #boxing #pcgaming #musician #drums #steamvr #drumcover #xr #simulator #simulation,"Dec 5, 2023 Â· 3:22 AM UTC",1,0,0,1
https://twitter.com/ImmersedVR/status/1712147704707498488#m,Unboxing the Quest 3 for work. #meta #quest3 #workinvr,"Oct 11, 2023 Â· 4:46 PM UTC",292,12,27,47
https://twitter.com/Jake__Wujastyk/status/1731815405411250410#m,$MSFT #MSFT This is a great & simple case study on using the @alphatrends anchored VWAP handoff strategy!   Dragonfly doji w/ a bounce right off the handoff VWAP today.,"Dec 4, 2023 Â· 11:19 PM UTC",37,0,9,1
https://twitter.com/martinhoyes/status/1725264665125834973#m,"Papaya Global make global #hiring & #payroll quick &  easy in over 160 countries. GO LIVE in 2-3 months! GET a DEMO,   or     #msignite #microsoft #msft #openai #salesforce #ai #azure #google #wef #fintech #legaltech #apple #aws #corpgov #esg #csuite #csr #hrtech #finserv #futureofwork #hr #shrm #cx #web3 #crm #payments #startup #startups","Nov 16, 2023 Â· 9:28 PM UTC",2,0,1,2
https://twitter.com/martinhoyes/status/1730322346735706599#m,"Papayaglobal offer #eor & #globalpayroll for 160 countries. Get a DEMO & GO LIVE in 2-3 months,   or     #awsreinvent #aws #reinvent #HPEDiscover #hpe #salesforce #crm #ai #microsoft #msft #openai #chatgpt #meta #googl #google #cfo #hr #hrtech #humanresources #fintech #legaltech #apple #appl #corpgov #esg #csuite #finserv #futureofwork #shrm #hiring #cx #web3 #payments #startup #startups","Nov 30, 2023 Â· 8:26 PM UTC",2,2,0,2
https://twitter.com/martinhoyes/status/1729565438848491837#m,"Papayaglobal offer #eor & #globalpayroll for 160 countries. Get a DEMO & GO LIVE in 2-3 months,   or     #awsreinvent #aws #reinvent #ai #microsoft #msft #openai #chatgpt #meta #googl #google #cfo #hr #hrtech #humanresources #salesforce #wef #fintech #legaltech #apple #corpgov #esg #csuite #csr #finserv #futureofwork #shrm #hiring #cx #web3 #crm #payments #startup #startups","Nov 28, 2023 Â· 6:18 PM UTC",2,2,0,2
https://twitter.com/martinhoyes/status/1729937493632614529#m,"Papayaglobal offer #eor & #globalpayroll for 160 countries. Get a DEMO & GO LIVE in 2-3 months,   or     #awsreinvent #aws #reinvent #salesforce #crm #ai #microsoft #msft #openai #chatgpt #meta #googl #google #cfo #hr #hrtech #humanresources #wef #fintech #legaltech #apple #corpgov #esg #csuite #csr #finserv #futureofwork #shrm #hiring #cx #web3 #payments #startup #startups","Nov 29, 2023 Â· 6:56 PM UTC",3,2,0,2
https://twitter.com/DarthTrada/status/1731776068728533329#m,This rally looks over. #MSFT $MSFT #SPX $SPX #NDX $NDX,"Dec 4, 2023 Â· 8:42 PM UTC",1,0,0,1
https://twitter.com/SuhailNepal/status/1731497265439936671#m,"This image creator tool from #msft looks really cool. I tried to generate my image with the prompt ðŸ˜‚  ""Currently lives in Melbourne, Nepali background, loves his coffee, spends time with his golden lab, also interested in tech and aviation""  @MSFT365Designer","Dec 4, 2023 Â· 2:14 AM UTC",4,0,1,1
https://twitter.com/JohnNosta/status/1730993842323697762#m,ðŸš¨KEY READ! Precision Prompting: Transforming AI From Basic to Brilliant      #prompt #promptengineering @BrianRoemmele #LLMs #GPT4 #digitalhealth #medicine #MSFT @OpenAI @CathieDWood,"Dec 2, 2023 Â· 4:54 PM UTC",13,0,2,11
https://twitter.com/altcoingazette/status/1731504888675262658#m,#Breaking_News:   $DOGE $BTC $ETH $LINK #dogefam #ChatGPT #quant #Tesla $SOFI #AAPL #Applecomputer #ICPUSD $Tesla #Tesla #Altcoingazette #CryptoGiveaway #BlockchainNews $NVDA #MSFT #AI #BitcoinSV $LCX $XRPHolders,"Dec 4, 2023 Â· 2:45 AM UTC",2,0,0,1
https://twitter.com/altcoingazette/status/1731505931400184023#m,#Breaking_News:   $DOGE $BTC $ETH $LINK #dogefam #ChatGPT #quant #Tesla $SOFI #AAPL #Applecomputer #ICPUSD $Tesla #Tesla #Altcoingazette #CryptoGiveaway #BlockchainNews $NVDA #MSFT #AI #BitcoinSV $LCX $XRPHolders,"Dec 4, 2023 Â· 2:49 AM UTC",1,0,0,1
https://twitter.com/Jake__Wujastyk/status/1731797896163434663#m,"$NVDA #NVDA Down 11% since the RSI, MACD, & Williams % Range signaled a downside reversal right before earnings!  This combination of indicators is extremely powerful when used correctly.","Dec 4, 2023 Â· 10:09 PM UTC",141,0,13,14
https://twitter.com/CodeRedEarth/status/1731712571516801050#m,People are out on the streets rebelling the genocide in  Gaza.  That was condoned by the same leaders executing humanity's genocide in the #ClimateEmergency. No doubt in my mind we will meet en masse in the streets to rebel on the Climate Emergency as well. #NVDA is growing,"Dec 4, 2023 Â· 4:30 PM UTC",21,1,3,13
https://twitter.com/NVAccess/status/1731556427171541256#m,"In-Process is out!  Featuring some more NVDA 2023.3 goodies, a few other things we've been up to, a sneak peek at something in NVDA 2024.1 AND a HUGE walkthrough of Object Navigation:   #NVAccess #NVDA #NVDAsr #ScreenReader #Blog #News #Tutorial #A11y","Dec 4, 2023 Â· 6:09 AM UTC",10,0,1,3
https://twitter.com/Jake__Wujastyk/status/1731481947074183544#m,$NVDA #NVDA Potential double top on the weekly candle chart.   Invalidation is a weekly close above $500.,"Dec 4, 2023 Â· 1:14 AM UTC",216,2,24,19
https://twitter.com/Trade_The_Swing/status/1731724392940306693#m,"Rotation and dispersion keeps the mkt protected  #goog #meta #nvda are all down 6-8% from Thanksgiving high, yet #SPX is flat  #xli #xlf #xlre #iwm #dia all pushing to the highs  As long as the 493 rise, #mag7 can rest and even drop, causing no damage","Dec 4, 2023 Â· 5:17 PM UTC",23,0,0,2
https://twitter.com/eWhispers/status/1726260486017077261#m,"The most anticipated earnings releases for the week of November 20, 2023 are NVIDIA #NVDA, Zoom Video Communications #ZM, Agilent Technologies #A, Symbotic #SYM, Kohl's #KSS, Medtronic #MDT, HP #HPQ, Lowe's #LOW, Autodesk #ADSK, and Trip.com #TCOM eps.sh/cal","Nov 19, 2023 Â· 3:25 PM UTC",83,2,5,29
https://twitter.com/ScalpMaster1/status/1731676430487187928#m,"Long Watches: #SPOT, #FSLR, #RIOT, #ENPH, #CVNA! Short Watches: #NVDA, #MSFT, #PANW, #NFLX, #GOOG!","Dec 4, 2023 Â· 2:06 PM UTC",16,0,0,1
https://twitter.com/GreenhamWomen/status/1731645245882761225#m,"Do you want to incorporate learning about resistance, feminism, collective action, non-violence, peace, and motivating positive change into your teaching?   Teachers, we have a FREE Study Support Pack for you!     #Greenham #NVDA","Dec 4, 2023 Â· 12:02 PM UTC",0,0,0,1
https://twitter.com/hiumesh/status/1730685304774783342#m,"$NVDA: So far good, price responding to uptrend channel. Looking another 25-30 points lower to make a bet. #nvda #spx #stocks","Dec 1, 2023 Â· 8:28 PM UTC",15,0,0,4
https://twitter.com/BossBlunts1/status/1728701832766070940#m,"In August, #AMC underwent a Reverse Split.   ðŸš¨ There were over 55 million Failures to Deliver of #AMCstock that day alone, which exceeded the total FTD's on  #SPY, #TSLA, #Apple, #Microsoft, #Meta, and #NVDA COMBINEDâ€¼ï¸  Failures to deliver (FTDs) occur when a seller doesn't deliver securities to the buyer by the settlement date.  Naked shorting involves selling shares without actually borrowing or locating them.   The correlation between FTDs and naked shorting arises when sellers fail to deliver because they've engaged in naked short selling, flooding the market with #phantom shares.  In simpler terms, naked shorting can contribute to FTDs when there's an imbalance between the number of shares sold and the actual shares available.   This can lead to increased volatility, affecting retail investors as it may artificially distort #stock prices to the downside, similar to printing money and causing devaluation of the dollar.  Phantom shares refer to shares that are sold in the market without actually being borrowed or available for delivery.   In the context of #nakedshorts, traders engage in selling shares they don't possess, effectively creating phantom shares. These transactions can contribute to failures to deliver when sellers fail to provide the promised shares by the settlement date.  The presence of phantom shares can distort market dynamics, artificially inflating the supply of a stock and artificially impacting its price negatively.   This situation is closely related to naked short selling, where sellers exploit loopholes in the system to sell shares that technically don't exist.   Trading retail orders on lit markets can help reduce the number of #FTD's on a stock for several reasons.   Lit markets refer to transparent and regulated trading venues where orders are displayed and executed publicly.   Here's how trading on lit markets can mitigate FTDs:  1. Immediate Settlement: Lit markets often facilitate quicker settlement of trades. When retail orders are executed on these platforms, the settlement process is more efficient, reducing the likelihood of FTDs.  2. Transparent Execution: Lit markets provide transparency in trade execution. Retail orders on these markets are visible to the broader market, making it easier for the involved parties to fulfill their obligations promptly and minimizing the risk of FTDs.  3. Risk Monitoring: Regulators and market participants closely monitor trading activities on lit markets. This oversight helps identify and address any irregularities or potential instances of naked short selling, which can contribute to FTDs.  4. Regulatory Compliance: Lit markets operate under regulatory frameworks that enforce rules to prevent market manipulation and ensure fair trading practices. Retail orders conducted within these regulatory confines contribute to a healthier market environment with reduced instances of FTDs.  This is why we're developing upcoming stock brokerage: @LitXchangeLLC  At litxchange.com our goal is to assist retail investors by routing trades directly to lit markets and avoid #darkpools.   We aim to enhance stock price discovery, market integrity, transparency, and efficiency, thereby minimizing the occurrence of FTDs and promoting fair and orderly markets.  But we cannot achieve this alone; we need a community of like-minded individuals committed to the cause.  Soon, through our Founderâ€™s Program campaigns, an opportunity will arise for both accredited and non-accredited #investors to join forces and participate in this transformative journey.  This campaign, pending #SEC approval, will empower investors to have a direct impact on the future of the market.   YOU become a driving force behind change, ensuring that transparency and accurate price discovery prevail.  Together, we have the potential to revolutionize the markets.   ðŸ’Ž The only #Stock & #Crypto broker for retail, by retail ðŸ’Ž (COMING SOON)  Let's Get Litâ€¼ï¸ ðŸ”¥ litxchange.com ðŸ”¥","Nov 26, 2023 Â· 9:06 AM UTC",1108,12,18,307
https://twitter.com/m2bTradingUS/status/1731757800252920075#m,$AMZN hourly chart â¤ï¸ Nice reaction and tweezer bottom off the 325SMA with RSI hitting a reactive low. MACD showing bullish divergence. ðŸ¤” #StockMarket #AMZN #TechnicalAnalysis,"Dec 4, 2023 Â· 7:30 PM UTC",2,0,0,1
https://twitter.com/CNBCOvertime/status/1729618708039954904#m,AWS CEO Adam Selipsky gives us his take on how investors should think about @Amazon's new #chips @JonFortt #AMZN #Reinvent,"Nov 28, 2023 Â· 9:50 PM UTC",21,1,4,5
https://twitter.com/Jake__Wujastyk/status/1731312832908530113#m,$AMZN #AMZN Definitely reasons for short-term caution on the weekly candle chart.,"Dec 3, 2023 Â· 2:02 PM UTC",155,1,17,16
https://twitter.com/StocksAfterDark/status/1731659915255537729#m,#SADnation Good Morning.  Will be out of pocket this AM but here's the info you've been waiting for.  Going to keep it simple. Using the 50% as the directional move towards the H/L and the Pivots.   K.I.S.S.  $SPY #SPY $MSFT #MSFT $AAPL #AAPL $AMZN #AMZN $QQQ #QQQ $ES #ES $SPX #SPX #thestrat i,"Dec 4, 2023 Â· 1:01 PM UTC",9,0,2,1
https://twitter.com/ApeAverage/status/1731017088364318965#m,ðŸš¨The New GATEKEEPERS...  #AMZN #Netflix & #Disney are now starting to ðŸ‘€ what Some of Us Knew... They are trying to Contain something that isn't Containable Anymore imo.,"Dec 2, 2023 Â· 6:26 PM UTC",52,0,3,18
https://twitter.com/muathe/status/1731012020755992622#m,"[ *VIDEO* ] ðŸ”´ AVOID This COMMON TRADING MISTAKE (PLUS Limited-Time Offer)    #TSLA, #PFE, #ALT, #SOFI, #F, #PLTR, #CLSK, #MARA, #PATH, #AAL, #NIO, #NIO, #BAC, #AAPL, #INTC, #PLUG, #AMZN, #RIVN, #AMD, #NVDA, #T, #AFRM, #MSFT, #HUT, #LYFT, #LYFT, #WBD, #BA","Dec 2, 2023 Â· 6:06 PM UTC",1,0,0,1
https://twitter.com/John_Papadak/status/1731037779033759956#m,Sunday Notes have been postedðŸ“—! Get yours here (eepurl.com/im4nD-/) #Nasdaq #NDX #NQ #NDX_F #NQ_F #SPX #SPX500 #ES_F #SPY #DAX #Gold #USO #EURUSD #GBPUSD #USDJPY #AMZN #AAPL #FTSE #GargantuaCosmicTrading,"Dec 2, 2023 Â· 7:49 PM UTC",1,0,0,1
https://twitter.com/TovaWarden/status/1728065955111346268#m,#EURGBP ALL targets hit! 23 pips profit in premiumâœ…ðŸŽ¯  Join our Free telegram channel. Link in the bio.  #xauusd #eurusd #usdcad #usdjpy #gbpusd #amzn #qqq #goog #googl #usdcad $grrr $wmt $jpy #gbpusd $vix $rivn $googl #crypto #usoil #crudeoil #lcid $aapl $spy #sp500,"Nov 24, 2023 Â· 3:00 PM UTC",1,0,1,1
https://twitter.com/MikeFairbournCS/status/1729883530149425508#m,"Buy Now, Pay Later has emerged as an alternative to credit cards.  Market Share of companies listed below: #PYPL #AMZN #AFRM #SEZL","Nov 29, 2023 Â· 3:22 PM UTC",8,0,2,1
https://twitter.com/AlemzadehC/status/1690450653355593728#m,â€œExpanded Flat Correctionsâ€ can trick market participants into thinking 2 outcomes are most probable w/small minority expecting a 3rd(major expansion)  #BTC â€˜21-Present  #Dow â€˜00-17â€™  #AMZN â€˜09-â€˜11,"Aug 12, 2023 Â· 7:50 PM UTC",394,1,43,83
https://twitter.com/ElectricNews3/status/1731730073605083512#m,Tesla Cybertruck range extender price estimated at $16k   #Tesla #TSLA #Cybertruck,"Dec 4, 2023 Â· 5:39 PM UTC",5,0,0,4
https://twitter.com/sunnydecree/status/1730881263576154594#m,Marketing level over 9000! #TSLA,"Dec 2, 2023 Â· 9:27 AM UTC",1197,19,57,168
https://twitter.com/strengthPlan/status/1731660488361025552#m,Iâ€™ve never seen a cybertruck in the wild yet and I see 21 Teslaâ€™s at my gym. I am sure to see one soon #tsla,"Dec 4, 2023 Â· 1:03 PM UTC",5,0,0,1
https://twitter.com/strengthPlan/status/1731743832234999902#m,Daily morning routine to prepare for market = pep chat with yourself #TSLA,"Dec 4, 2023 Â· 6:34 PM UTC",3,0,1,1
https://twitter.com/tweetmyinbox/status/1731811396650680820#m,Tesla Deaths Total as of 4.12.2023:   481   Tesla Autopilot Deaths Count:   42   tesladeaths.com #TSLA $TSLAQ,"Dec 4, 2023 Â· 11:03 PM UTC",1,0,0,1
https://twitter.com/strengthPlan/status/1731790678047285722#m,I used to be the guy with a million stickers on the car now I donâ€™t have any I have a Tesla that speaks for itself. I do have a customized plate you need to show off something lol like â€œno gasâ€ or something #tsla,"Dec 4, 2023 Â· 9:40 PM UTC",5,0,2,1
https://twitter.com/EMoneyYouTube/status/1731689828914495951#m,What stocks are investors buying now? Find out in the video from @paulgabrail and @realmostafah in the video below!  #EverythingMoney #StockAnalysis #TSLA #investing,"Dec 4, 2023 Â· 3:00 PM UTC",4,0,1,4
https://twitter.com/bsdyork/status/1731803571845226663#m,"That's why you will never be a legend.  Your money,  you do you!  Maybe sell 1/3 at 20, 1/3 at 40 and 1/3 at 60.  Mullen will go beyond $60.  Think of all the #tsla shareholders that cashed out at $60. They probably wish they didn't paperhand!!! #lfg #muln #mullenthree","Dec 4, 2023 Â· 10:32 PM UTC",14,0,5,1
https://twitter.com/GhostRider8969/status/1731613735876177978#m,"I was not a fan of #tsla before but after seeing a CyberTruck in person today .. blow my every organ in my body â€œBEAUTIFULLY MONSTROUSâ€   Especially the back, itâ€™s long, huge, slop and covered doesnâ€™t look like avg pick-up truck CyberTruck has changed the whole game of TRUCK ðŸ«¶ðŸ¼","Dec 4, 2023 Â· 9:57 AM UTC",8,2,3,1
https://twitter.com/DoctorJack16/status/1730965907600461837#m,"Great thread with logical, technician points on the Cybertruck !  #TSLA","Dec 2, 2023 Â· 3:03 PM UTC",8,0,1,2
https://twitter.com/QANplatform/status/1731698828682691017#m,"At today's #IBM Quantum Summit, IBM introduced IBM Condor, IBM Quantum Heron, the initial offering in a new line of utility-scale quantum processors, and IBM Quantum System Two, their first modular quantum computer.  Let's see what these innovations mean...  THREADðŸ§µ","Dec 4, 2023 Â· 3:35 PM UTC",157,11,16,69
https://twitter.com/jczuleta/status/1731696791551176717#m,"#IBM introduces Condor: The new chip pushes the limits of scale and yield in chip design with a 50% increase in qubit density, advances in qubit fabrication and laminate size, and  cryogenic capabilities.Â  Hola Walter #Quantumcomputing moves forward.  ","Dec 4, 2023 Â· 3:27 PM UTC",0,0,0,1
https://twitter.com/zlatko_minev/status/1731752842048737371#m,"Thrilled to see the second of my 3 latest papers, where I served as the senior lead author, presented by Oles Shtanko at the #IBM #QuantumSummit2023.  Our small dream team used up to 124-qubits, depth-60 circuits, over 2,600 CX gates, we extract from a #quantumcomputer 1/n","Dec 4, 2023 Â· 7:10 PM UTC",31,1,1,4
https://twitter.com/f75919/status/1731733526553211244#m,"I told yesterday: Awareness of QC is rising, check #IBMÂ´s release! #cryptocurrency @QANplatform is prepared #CyberSecurity #NIST $BTC $LINK $ETH $XRP $AVAX $UNI $BNB $MATIC $ADA $ICP $USDT $ROSE $SOL $HBAR $KAS $NAKA $SUI $SEI $APT $ARB $NEAR $FLUX $STX $ORAI $OP $XLM $FTM $TAO","Dec 4, 2023 Â· 5:53 PM UTC",14,0,2,5
https://twitter.com/RussianTexan/status/1731109626249109900#m,Warm St Martin Sunset For You ðŸ‡«ðŸ‡·ðŸŒ… CU 2morrow dear friendsðŸŽµðŸŽ¶ #SXM #Caribbean #Svetan #SvetanPhotography  Time To Boycott Elon's Boycotters  #Boycott #Apple #Walmart #IBM #NBCUniversal #Comcast #WaltDisneyWorld,"Dec 3, 2023 Â· 12:34 AM UTC",159,0,15,38
https://twitter.com/OlnaBekins/status/1731783430277345783#m,"After going through this #IBM quantum summit discussion, it's evident that investing in $QANX for future considerations is a wise choice.   The team behind @QANplatform is commendably building an ecosystem that proves beneficial for all its holders.","Dec 4, 2023 Â· 9:11 PM UTC",10,0,0,3
https://twitter.com/zlatko_minev/status/1731689754469568822#m,Jay M. Gambetta shows us whatâ€™s next for #IBM and #quantum at the @IBM #quantumsummit2023.   The summary is shown in the second picture.  This includes: - system 2 - Heron and condor chips. tunable coupler  - Qiskit 1.0  - expanded roadmap  And more,"Dec 4, 2023 Â· 2:59 PM UTC",39,3,0,7
https://twitter.com/PlanetReportHQ/status/1730139389949317361#m,"ð• | @elonmusk in response to advertisers like #Disney, #IBM, #Apple... pulling their ads on ð•. #Elonmusk #ð• #FreedomOfSpeech","Nov 30, 2023 Â· 8:19 AM UTC",23,0,3,13
https://twitter.com/iexclusivenews/status/1731784359064023061#m,"IBM's Quantum Computing Roadmap: From 1,121 Qubits to 1 Billion Gates #deprem #IBM  ","Dec 4, 2023 Â· 9:15 PM UTC",1,0,0,1
https://twitter.com/RussianTexan/status/1730735261649076457#m,Throw your heart over the fence  and the rest will follow ðŸ˜âœ¨ CU 2 morrow dear friendsðŸŽµðŸŽ¶ #Houston #Texas #Sunset #Nikon #nikonphotography #Svetan #SvetanPhotography  Time To Boycott Elon's Boycotters #Boycott #Apple #Walmart #IBM #NBCUniversal #Comcast #WaltDisneyWorld,"Dec 1, 2023 Â· 11:46 PM UTC",163,2,12,32
